App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Foodvisor - Ernärung und Diät,27,1,4,5,4,4,5,4.4,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,3,4,4,4,4.166666666666667
Lose it! Kalorienzähler,27,1,5,5,4,5,5,4.8,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Sports Tracker for All Sports,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,4,5,4.666666666666667,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Strava: Laufen & Radfahren,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Seven - 7 Minuten Training,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Fitify: Workout zu Hause,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,3,3,3,3,3,3,3.0
Hevy - Gym & Trainingstagebuch,27,1,4,4,4,4,5,4.2,5,5,5,4,4.75,5,5,5,5.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Schrittzähler++,27,1,4,4,4,4,5,4.2,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Daylio Tagebuch & Gewohnheiten,27,1,5,5,4,4,5,4.6,5,4,5,4,4.5,5,5,5,5.0,4,4,5,4,4.25,2,2,2,3,3,2,2.3333333333333335
Moodflow: Better mental health,27,1,3,4,3,3,5,3.6,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Pixels Journaling: Mood Tracker,27,1,1,2,3,3,5,2.8,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,4,4,4,4,4,4,4.0
Mindshine: Mental Health Coach,27,1,2,4,3,3,5,3.4,3,4,5,4,4.0,5,5,5,5.0,4,4,4,4,4.0,4,4,4,4,4,4,4.0
MyTherapy Tabletten Erinnerung,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,2,2,2,2,2,2,2.0
mediteo: Tabletten Erinnerung,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,3,3,2.6666666666666665,3,3,4,4,3.5,2,2,2,2,2,2,2.0
TOM - Tabletten Erinnerung,27,1,3,3,3,3,3,3.0,3,3,3,3,3.0,2,2,2,2.0,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Max - Pillen Erinnerung,27,1,3,3,3,3,3,3.0,2,3,2,2,2.25,3,3,2,2.6666666666666665,4,2,4,2,3.0,2,2,3,2,1,1,1.8333333333333333
