App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Asics Runkeeper Lauf-Tracker,29,1,1,3,4,3,4,3.0,4,3,4,3,3.5,4,3,3,3.3333333333333335,4,3,3,4,3.5,1,1,1,1,2,1,1.1666666666666667
WeightWatchers,29,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,4,3.6666666666666665
Noom: Gesund Abnehmen,29,1,3,3,4,3,3,3.2,4,3,3,4,3.5,4,4,4,4.0,4,3,3,4,3.5,2,2,2,2,2,2,2.0
SIMPLE: dein Ernährungshelfer,29,1,3,4,3,3,3,3.2,4,4,4,3,3.75,3,3,3,3.0,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
Fastic Intervallfasten Tracker,29,1,3,2,3,3,3,2.8,4,4,4,4,4.0,4,3,3,3.3333333333333335,3,4,3,3,3.25,1,1,1,1,2,1,1.1666666666666667
Gymondo: Fitness & Workout App,29,1,2,3,4,4,4,3.4,4,4,4,3,3.75,3,3,3,3.0,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
Asana Rebel: Yoga und Fitness,29,1,2,4,4,3,3,3.2,4,4,3,4,3.75,3,4,3,3.3333333333333335,3,4,3,3,3.25,1,1,1,1,2,1,1.1666666666666667
"Carb Manager-Keto Diät, Fasten",29,1,3,3,3,3,3,3.0,4,3,3,4,3.5,3,4,3,3.3333333333333335,4,3,4,4,3.75,1,1,1,1,1,1,1.0
Foodvisor - Ernärung und Diät,29,1,4,2,3,3,3,3.0,4,3,3,3,3.25,3,4,3,3.3333333333333335,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Lose it! Kalorienzähler,29,1,2,3,2,4,4,3.0,4,3,3,3,3.25,3,4,4,3.6666666666666665,3,3,3,3,3.0,1,1,1,1,1,1,1.0
Sports Tracker for All Sports,29,1,3,3,3,3,4,3.2,4,3,3,3,3.25,3,3,4,3.3333333333333335,3,3,3,4,3.25,1,1,1,1,1,1,1.0
Strava: Laufen & Radfahren,29,1,2,2,3,3,3,2.6,4,3,4,4,3.75,4,3,3,3.3333333333333335,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Seven - 7 Minuten Training,29,1,2,3,3,4,3,3.0,4,3,4,3,3.5,3,3,3,3.0,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Fitify: Workout zu Hause,29,1,3,4,4,4,3,3.6,4,4,4,3,3.75,3,4,3,3.3333333333333335,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Hevy - Gym & Trainingstagebuch,29,1,3,2,4,4,3,3.2,4,4,3,3,3.5,3,4,4,3.6666666666666665,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Schrittzähler++,29,1,2,3,3,4,4,3.2,4,4,3,4,3.75,4,4,3,3.6666666666666665,3,3,4,3,3.25,1,1,1,1,2,1,1.1666666666666667
Daylio Tagebuch & Gewohnheiten,29,1,3,4,3,3,3,3.2,4,4,2,3,3.25,3,4,3,3.3333333333333335,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Moodflow: Better mental health,29,1,4,3,4,3,4,3.6,4,3,4,4,3.75,3,3,2,2.6666666666666665,3,3,2,3,2.75,1,1,1,1,2,1,1.1666666666666667
Pixels Journaling: Mood Tracker,29,1,3,3,4,3,4,3.4,4,4,3,4,3.75,3,3,3,3.0,3,3,3,4,3.25,1,1,1,1,1,1,1.0
Mindshine: Mental Health Coach,29,1,2,3,3,4,3,3.0,4,3,4,3,3.5,3,3,3,3.0,3,3,3,4,3.25,1,1,1,1,1,1,1.0
MyTherapy Tabletten Erinnerung,29,1,3,3,3,3,4,3.2,4,4,4,3,3.75,4,3,3,3.3333333333333335,4,3,3,4,3.5,1,1,1,1,1,1,1.0
mediteo: Tabletten Erinnerung,29,1,3,3,4,2,3,3.0,4,3,4,4,3.75,4,3,3,3.3333333333333335,3,3,4,4,3.5,1,1,1,1,1,1,1.0
TOM - Tabletten Erinnerung,29,1,4,3,4,3,3,3.4,4,3,3,3,3.25,4,4,4,4.0,4,3,4,3,3.5,1,1,1,1,1,1,1.0
Max - Pillen Erinnerung,29,1,3,3,4,4,3,3.4,4,3,3,4,3.5,4,3,4,3.6666666666666665,4,3,4,3,3.5,1,1,1,1,1,1,1.0
