App_Name,Rater,Messzeitpunkt,Unterhaltung,Interesse,Individuelle Anpassbarkeit,Interaktivität,Zielgruppe,SECTION A: Engagement,Leistung,Nutzerfreundlichkeit,Navigation,"Motorisches, gestisches Design",SECTION B: Funktionalität,Layout,Grafik,Visueller Anreiz,SECTION C: Ästhetik,Qualität der Information,Quantität der Information,Visuelle Information,Glaubwürdigkeit,SECTION D: Information,Bewusstsein,Wissen,Einstellung,Absicht zur Veränderung,Hilfe suchen,Verhaltensänderung,SECTION F: Wahrgenommene Wirkung der App
Noom: Gesund Abnehmen,26,1,3,3,4,4,4,3.6,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
SIMPLE: dein Ernährungshelfer,26,1,3,3,4,4,4,3.6,4,4,4,4,4.0,4,3,3,3.3333333333333335,4,3,4,3,3.5,2,2,2,2,2,2,2.0
Fastic Intervallfasten Tracker,26,1,4,4,4,4,4,4.0,4,4,4,4,4.0,4,4,3,3.6666666666666665,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Gymondo: Fitness & Workout App,26,1,5,4,4,4,5,4.4,5,5,4,5,4.75,5,5,4,4.666666666666667,4,4,4,4,4.0,2,3,3,3,2,2,2.5
Asana Rebel: Yoga und Fitness,26,1,4,4,4,4,5,4.2,5,5,4,5,4.75,5,5,4,4.666666666666667,4,3,4,4,3.75,2,3,3,3,2,2,2.5
"Carb Manager-Keto Diät, Fasten",26,1,3,4,4,4,4,3.8,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Foodvisor - Ernärung und Diät,26,1,3,4,4,4,4,3.8,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Lose it! Kalorienzähler,26,1,3,4,4,4,4,3.8,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
Sports Tracker for All Sports,26,1,3,3,4,4,4,3.6,4,3,4,4,3.75,4,4,4,4.0,4,3,3,4,3.5,2,2,2,2,2,2,2.0
Strava: Laufen & Radfahren,26,1,3,4,4,4,4,3.8,5,4,4,4,4.25,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Seven - 7 Minuten Training,26,1,4,4,3,4,4,3.8,5,4,4,5,4.5,4,3,3,3.3333333333333335,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Fitify: Workout zu Hause,26,1,4,4,3,4,4,3.8,4,4,4,5,4.25,4,5,4,4.333333333333333,4,4,4,4,4.0,2,3,3,3,2,2,2.5
Hevy - Gym & Trainingstagebuch,26,1,3,4,5,5,5,4.4,5,4,4,4,4.25,5,4,3,4.0,4,4,4,4,4.0,2,2,3,4,2,3,2.6666666666666665
Schrittzähler++,26,1,3,4,4,4,4,3.8,4,4,4,4,4.0,4,4,4,4.0,4,4,4,4,4.0,3,2,3,3,2,2,2.5
Daylio Tagebuch & Gewohnheiten,26,1,4,4,4,4,4,4.0,5,4,4,4,4.25,4,4,4,4.0,4,4,4,4,4.0,2,2,2,2,2,2,2.0
Moodflow: Better mental health,26,1,5,4,4,4,4,4.2,5,4,4,4,4.25,5,5,5,5.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Pixels Journaling: Mood Tracker,26,1,4,4,4,4,4,4.0,5,4,4,4,4.25,4,4,4,4.0,4,4,4,4,4.0,2,2,3,2,2,2,2.1666666666666665
Mindshine: Mental Health Coach,26,1,5,5,5,5,5,5.0,5,4,4,4,4.25,5,5,5,5.0,4,4,5,4,4.25,4,3,4,4,3,4,3.6666666666666665
MyTherapy Tabletten Erinnerung,26,1,3,3,4,4,4,3.6,5,5,4,4,4.5,4,4,4,4.0,O,O,O,O,0.0,2,2,2,2,2,2,2.0
mediteo: Tabletten Erinnerung,26,1,3,4,4,4,4,3.8,5,4,4,4,4.25,4,4,5,4.333333333333333,O,O,O,O,0.0,2,2,2,2,2,2,2.0
TOM - Tabletten Erinnerung,26,1,4,4,4,4,4,4.0,5,4,4,4,4.25,4,4,4,4.0,O,O,O,O,0.0,2,2,2,2,2,2,2.0
Max - Pillen Erinnerung,26,1,4,4,4,4,4,4.0,5,4,4,5,4.5,4,4,4,4.0,O,O,O,O,0.0,2,2,2,2,2,2,2.0
Water time - Wasser Trinken,27,1,4,4,3,4,4,3.8,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,3,3,3,3,3,3,3.0
Wassertracker: Trinkerinnerung,27,1,2,4,3,3,4,3.2,5,5,4,4,4.5,4,4,4,4.0,4,3,4,4,3.75,4,4,3,3,3,3,3.3333333333333335
WaterMinder®・Water Tracker,27,1,4,5,4,4,5,4.4,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,3,4,4,4,4.166666666666667
Plant Nanny Wasser Trinken App,27,1,5,5,4,5,5,4.8,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
"Wasser tracker, water - Dropy",27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,4,5,4.666666666666667,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Waterdrop Hydration App,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Gerolsteiner TrinkCheck,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Sleep Recorder: Schlaf Analyse,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,3,3,3,3,3,3,3.0
Alarmy - Wecker und Schlaf,27,1,4,4,4,4,5,4.2,5,5,5,4,4.75,5,5,5,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Sleep Cycle - Sleep Tracker,27,1,4,4,4,4,5,4.2,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
ShutEye - Schlaftracker,27,1,5,5,4,4,5,4.6,5,4,5,4,4.5,5,5,5,5.0,4,4,5,4,4.25,2,2,2,3,3,2,2.3333333333333335
SnoreLab.schnarchen aufnehmen,27,1,3,4,3,3,5,3.6,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.0,4,4,4,4,4,4,4.0
Prime Sleep Recorder,27,1,1,2,3,3,5,3.0,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,4,4,4,4,4,4,4.0
Sleepzy - Schlaftracker-Wecker,27,1,2,4,3,3,5,3.4,3,4,5,4,4.0,5,5,5,5.0,4,4,4,4,4.0,4,4,4,4,4,4,4.0
Sleep Talk Recorder,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,2,2,2,2,2,2,2.0
Do I Snore or Grind ,27,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,2,3,3,2.5,1,1,1,1,1,1,1.0
Dream Talk Recorder,27,1,1,2,3,3,5,2.8,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Headspace: Meditation & Schlaf,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,2,2,2,2,2,3,2.1666666666666665
"Fitness App-Gym Workout, Sport",27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,5,4,5,4,5,4,4.5
MyFitnessPal: Kalorien Tracker,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,4,4.666666666666667,4,4,5,3,4.0,5,4,5,4,5,4,4.5
Lifesum: Kalorien Zähler,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,5,5.0,4,5,5,3,4.25,5,4,5,4,5,4,4.5
Fddb - Kalorienzähler & Diät,27,1,4,5,4,4,4,4.2,4,5,4,4,4.25,4,4,3,4.0,4,3,4,4,3.75,4,4,4,4,4,4,4.0
YAZIO: Kalorien Zähler & Diät,27,1,4,5,4,4,5,4.4,4,4,4,4,4.0,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,5,5,5,5,5.0
adidas Running: Lauf App,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Nike Run Club: Laufcoach,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
StepsApp Schrittzähler,27,1,4,4,4,3,5,4.0,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,5,4,5,4,5,4,4.5
Asics Runkeeper Lauf-Tracker,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,5,4,4.666666666666667,4,4,5,3,4.0,5,4,5,4,5,4,4.5
WeightWatchers,27,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,4,3.6666666666666665
Noom: Gesund Abnehmen,27,1,3,3,4,3,3,3.2,4,3,3,4,3.5,4,4,4,4.0,4,3,4,4,3.75,2,2,2,2,2,2,2.0
SIMPLE: dein Ernährungshelfer,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,5,4,4.333333333333333,4,3,4,4,3.75,4,4,4,4,4,4,4.0
Fastic Intervallfasten Tracker,27,1,4,3,3,3,4,3.4,4,5,4,4,4.25,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Gymondo: Fitness & Workout App,27,1,5,5,5,5,5,5.0,5,5,4,5,4.75,5,5,5,5.0,4,4,5,4,4.25,5,5,5,4,4,4,4.5
Asana Rebel: Yoga und Fitness,27,1,4,4,3,4,3,3.6,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,3,3,3,3,3,3,3.0
"Carb Manager-Keto Diät, Fasten",27,1,2,4,3,3,4,3.2,5,5,4,4,4.5,4,4,4,4.0,4,3,4,4,3.75,4,4,3,3,3,3,3.3333333333333335
Foodvisor - Ernärung und Diät,27,1,4,5,4,4,5,4.4,5,5,4,4,4.5,4,5,4,4.333333333333333,4,3,4,4,3.75,5,5,3,4,4,4,4.166666666666667
Lose it! Kalorienzähler,27,1,5,5,4,5,5,4.8,5,4,5,5,4.75,5,5,5,5.0,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Sports Tracker for All Sports,27,1,5,5,4,3,5,4.4,5,4,5,5,4.75,5,4,5,4.666666666666667,4,4,5,3,4.0,4,3,4,4,4,4,3.8333333333333335
Strava: Laufen & Radfahren,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Seven - 7 Minuten Training,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,4,3,3,4,3.5,3,3,3,3,3,3,3.0
Fitify: Workout zu Hause,27,1,3,3,3,3,4,3.2,4,4,4,4,4.0,5,4,5,4.666666666666667,3,3,3,4,3.25,3,3,3,3,3,3,3.0
Hevy - Gym & Trainingstagebuch,27,1,4,4,4,4,5,4.2,5,5,5,4,4.75,5,5,5,5.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Schrittzähler++,27,1,4,4,4,4,5,4.2,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,2,2,2,2,2,2,2.0
Daylio Tagebuch & Gewohnheiten,27,1,5,5,4,4,5,4.6,5,4,5,4,4.5,5,5,5,5.0,4,4,5,4,4.25,2,2,2,3,3,2,2.3333333333333335
Moodflow: Better mental health,27,1,3,4,3,3,5,3.6,5,4,5,4,4.5,4,4,4,4.0,4,4,5,4,4.25,4,4,4,4,4,4,4.0
Pixels Journaling: Mood Tracker,27,1,1,2,3,3,5,2.8,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,4,4,4,4,4,4,4.0
Mindshine: Mental Health Coach,27,1,2,4,3,3,5,3.4,3,4,5,4,4.0,5,5,5,5.0,4,4,4,4,4.0,4,4,4,4,4,4,4.0
MyTherapy Tabletten Erinnerung,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,2,2,2.0,3,3,4,4,3.5,2,2,2,2,2,2,2.0
mediteo: Tabletten Erinnerung,27,1,3,3,3,3,5,3.4,3,4,5,4,4.0,2,3,3,2.6666666666666665,3,3,4,4,3.5,2,2,2,2,2,2,2.0
TOM - Tabletten Erinnerung,27,1,3,3,3,3,3,3.0,3,3,3,3,3.0,2,2,2,2.0,3,3,4,4,3.5,1,1,1,1,1,1,1.0
Max - Pillen Erinnerung,27,1,3,3,3,3,3,3.0,2,3,2,2,2.25,3,3,2,2.6666666666666665,4,2,4,2,3.0,2,2,3,2,1,1,1.8333333333333333
Water time - Wasser Trinken,28,1,3,4,4,3,4,3.6,3,4,3,3,3.25,4,4,5,4.333333333333333,4,3,0,0,1.75,4,2,2,3,3,4,3.0
Wassertracker: Trinkerinnerung,28,1,4,4,3,3,4,3.6,4,4,2,3,3.25,3,4,4,3.6666666666666665,4,4,2,0,2.5,4,2,2,4,4,4,3.3333333333333335
WaterMinder®・Water Tracker,28,1,2,4,3,2,3,2.8,3,3,3,2,2.75,2,2,3,2.3333333333333335,4,2,1,0,1.75,4,1,2,4,2,3,2.6666666666666665
Plant Nanny Wasser Trinken App,28,1,4,4,2,4,4,3.6,2,4,2,4,3.0,2,3,4,3.0,4,4,0,0,2.0,1,2,1,2,1,4,1.8333333333333333
"Wasser tracker, water - Dropy",28,1,3,3,4,3,4,3.4,3,4,2,3,3.0,3,3,2,2.6666666666666665,3,3,0,0,1.5,1,2,1,2,1,3,1.6666666666666667
Waterdrop Hydration App,28,1,4,4,3,3,4,3.6,3,4,3,3,3.25,4,4,4,4.0,4,3,2,3,3.0,4,2,1,3,3,4,2.8333333333333335
Gerolsteiner TrinkCheck,28,1,4,4,4,3,4,3.8,3,3,3,3,3.0,4,3,4,3.6666666666666665,4,3,1,5,3.25,4,2,1,3,3,4,2.8333333333333335
Sleep Recorder: Schlaf Analyse,28,1,4,4,4,3,4,3.8,3,4,3,4,3.5,4,4,4,4.0,4,4,3,5,4.0,4,3,3,4,4,4,3.6666666666666665
Alarmy - Wecker und Schlaf,28,1,4,3,4,3,4,3.6,3,4,3,3,3.25,4,4,3,3.6666666666666665,4,3,3,3,3.25,3,2,3,2,3,3,2.6666666666666665
Sleep Cycle - Sleep Tracker,28,1,4,4,4,4,4,4.0,3,4,4,4,3.75,4,3,4,3.6666666666666665,4,4,3,3,3.5,4,3,3,4,4,4,3.6666666666666665
ShutEye - Schlaftracker,28,1,4,4,4,3,4,3.8,4,4,3,4,3.75,4,4,4,4.0,4,4,3,3,3.5,4,4,3,4,3,4,3.6666666666666665
SnoreLab.schnarchen aufnehmen,28,1,3,4,3,4,3,3.4,3,4,4,3,3.5,3,3,4,3.3333333333333335,4,3,3,3,3.25,4,3,4,3,3,4,3.5
Prime Sleep Recorder,28,1,3,2,3,3,3,2.8,2,4,3,3,3.0,3,3,2,2.6666666666666665,3,3,1,3,2.5,2,2,3,3,3,3,2.6666666666666665
Sleepzy - Schlaftracker-Wecker,28,1,4,4,3,4,3,3.6,3,4,3,4,3.5,5,3,4,4.0,4,3,3,2,3.0,3,4,3,3,3,4,3.3333333333333335
Sleep Talk Recorder,28,1,2,3,2,2,3,2.4,3,2,2,2,2.25,2,3,2,2.3333333333333335,3,3,1,1,2.0,2,3,2,2,3,3,2.5
Do I Snore or Grind ,28,1,3,3,3,3,3,3.0,4,3,4,3,3.5,2,3,2,2.3333333333333335,2,3,3,3,2.75,2,2,2,1,1,1,1.5
Dream Talk Recorder,28,1,3,2,2,3,3,2.6,3,3,2,3,2.75,3,3,2,2.6666666666666665,3,2,1,1,1.75,3,2,3,1,3,3,2.5
Headspace: Meditation & Schlaf,28,1,3,4,4,3,3,3.4,3,3,4,3,3.25,3,3,3,3.0,4,3,1,4,3.0,5,3,3,2,3,3,3.1666666666666665
"Fitness App-Gym Workout, Sport",28,1,4,3,3,4,3,3.4,3,4,3,3,3.25,3,4,4,3.6666666666666665,4,4,2,3,3.25,4,4,3,3,2,3,3.1666666666666665
MyFitnessPal: Kalorien Tracker,28,1,4,4,3,4,4,3.8,3,3,4,4,3.5,4,3,4,3.6666666666666665,4,4,3,4,3.75,4,4,4,3,3,4,3.6666666666666665
Lifesum: Kalorien Zähler,28,1,4,3,3,4,3,3.4,3,3,3,3,3.0,3,3,4,3.3333333333333335,4,4,2,4,3.5,4,4,4,3,2,4,3.5
Fddb - Kalorienzähler & Diät,28,1,5,4,3,4,4,4.0,3,3,4,4,3.5,3,3,4,3.3333333333333335,4,4,3,2,3.25,5,4,4,3,3,4,3.8333333333333335
YAZIO: Kalorien Zähler & Diät,28,1,4,4,4,3,4,3.8,3,3,4,4,3.5,4,3,4,3.6666666666666665,4,4,3,4,3.75,4,4,5,3,3,4,3.8333333333333335
adidas Running: Lauf App,28,1,4,3,3,5,4,3.8,3,3,3,4,3.25,5,3,3,3.6666666666666665,4,3,2,4,3.25,4,3,3,3,3,3,3.1666666666666665
Nike Run Club: Laufcoach,28,1,3,4,3,3,4,3.4,3,3,3,3,3.0,3,3,3,3.0,4,3,2,4,3.25,4,3,3,3,3,3,3.1666666666666665
StepsApp Schrittzähler,28,1,3,3,4,3,3,3.2,3,2,3,3,2.75,2,3,3,2.6666666666666665,4,3,2,3,3.0,3,3,4,2,2,3,2.8333333333333335
Asics Runkeeper Lauf-Tracker,28,1,4,4,3,3,4,3.6,3,4,4,3,3.5,3,3,3,3.0,4,4,2,3,3.25,4,4,3,3,3,3,3.3333333333333335
WeightWatchers,28,1,3,4,4,4,5,4.0,4,4,4,4,4.0,5,5,5,5.0,4,4,4,3,3.75,4,3,4,4,3,4,3.6666666666666665
Noom: Gesund Abnehmen,28,1,3,3,4,3,3,3.2,4,3,3,4,3.5,4,4,4,4.0,4,3,3,4,3.5,2,2,2,2,2,2,2.0
SIMPLE: dein Ernährungshelfer,28,1,4,3,3,4,4,3.6,3,3,3,4,3.25,3,4,3,3.3333333333333335,4,4,2,3,3.25,4,3,4,3,3,3,3.3333333333333335
Fastic Intervallfasten Tracker,28,1,4,4,4,4,4,4.0,3,3,4,4,3.5,3,3,5,3.6666666666666665,4,4,3,4,3.75,5,3,2,4,3,3,3.3333333333333335
Gymondo: Fitness & Workout App,28,1,3,4,3,3,3,3.2,3,2,3,3,2.75,3,3,3,3.0,4,4,2,4,3.5,3,3,4,3,3,3,3.1666666666666665
Asana Rebel: Yoga und Fitness,28,1,4,3,3,4,3,3.4,3,3,3,4,3.25,3,3,4,3.3333333333333335,4,3,3,3,3.25,4,4,3,3,3,3,3.3333333333333335
"Carb Manager-Keto Diät, Fasten",28,1,4,4,3,3,4,3.6,3,3,3,4,3.25,3,3,4,3.3333333333333335,4,4,2,4,3.5,4,4,2,3,3,3,3.1666666666666665
Foodvisor - Ernärung und Diät,28,1,4,3,3,2,3,3.0,3,2,3,4,3.0,3,3,3,3.0,4,4,2,3,3.25,4,4,2,3,2,3,3.0
Lose it! Kalorienzähler,28,1,4,4,5,3,3,3.8,3,4,3,4,3.5,3,4,2,3.0,4,4,3,3,3.5,5,4,3,3,4,3,3.6666666666666665
Sports Tracker for All Sports,28,1,3,3,4,3,3,3.2,3,3,4,3,3.25,2,3,4,3.0,4,4,2,3,3.25,3,4,3,4,3,3,3.3333333333333335
Strava: Laufen & Radfahren,28,1,3,4,4,2,3,3.2,2,3,3,4,3.0,3,2,3,2.6666666666666665,4,3,3,3,3.25,3,4,4,4,3,3,3.5
Seven - 7 Minuten Training,28,1,4,3,3,3,3,3.2,3,3,2,4,3.0,3,3,4,3.3333333333333335,4,4,2,3,3.25,3,3,4,3,3,3,3.1666666666666665
Fitify: Workout zu Hause,28,1,3,3,2,3,3,2.8,3,3,4,4,3.5,3,3,3,3.0,3,4,2,4,3.25,4,3,2,4,3,3,3.1666666666666665
Hevy - Gym & Trainingstagebuch,28,1,3,3,4,3,3,3.2,3,4,3,4,3.5,3,3,4,3.3333333333333335,4,2,3,3,3.0,4,3,3,2,3,3,3.0
Schrittzähler++,28,1,2,3,2,3,3,2.6,3,3,2,3,2.75,2,3,2,2.3333333333333335,3,3,1,0,1.75,3,3,2,2,2,3,2.5
Daylio Tagebuch & Gewohnheiten,28,1,3,2,3,3,3,2.8,3,4,3,2,3.0,3,3,2,2.6666666666666665,3,3,1,3,2.5,2,3,3,2,3,3,2.6666666666666665
Moodflow: Better mental health,28,1,3,3,2,3,3,2.8,3,3,3,2,2.75,3,2,3,2.6666666666666665,2,3,1,3,2.25,3,3,4,3,3,2,3.0
Pixels Journaling: Mood Tracker,28,1,2,3,4,2,2,2.6,2,3,2,3,2.5,3,2,3,2.6666666666666665,3,2,1,3,2.25,2,3,3,3,2,3,2.6666666666666665
Mindshine: Mental Health Coach,28,1,3,2,3,4,3,3.0,3,3,3,2,2.75,3,4,3,3.3333333333333335,3,3,1,3,2.5,2,2,3,2,3,3,2.5
MyTherapy Tabletten Erinnerung,28,1,3,4,3,4,3,3.4,3,3,3,4,3.25,3,4,4,3.6666666666666665,3,4,2,3,3.0,4,4,3,2,3,3,3.1666666666666665
mediteo: Tabletten Erinnerung,28,1,4,3,3,4,3,3.4,3,4,3,3,3.25,3,4,4,3.6666666666666665,4,4,2,4,3.5,4,4,3,3,3,3,3.3333333333333335
TOM - Tabletten Erinnerung,28,1,3,3,4,3,3,3.2,3,3,4,3,3.25,3,4,4,3.6666666666666665,3,4,2,3,3.0,4,4,3,4,4,3,3.6666666666666665
Max - Pillen Erinnerung,28,1,3,3,3,3,2,2.8,3,3,4,3,3.25,2,3,3,2.6666666666666665,3,3,1,3,2.5,3,4,3,2,3,3,3.0
Water time - Wasser Trinken,29,1,3,4,2,5,3,3.4,4,3,3,3,3.25,3,4,2,3.0,4,3,3,3,3.25,1,1,1,1,1,1,1.0
Wassertracker: Trinkerinnerung,29,1,3,2,2,5,3,3.0,4,3,3,4,3.5,4,4,3,3.6666666666666665,3,3,3,3,3.0,1,1,1,1,2,1,1.1666666666666667
